videoId,title,channelTitle,channelId,subscriberCount,viewCount,videoCount
https://youtube.com/watch?v=-eTnn8vQTaE,【プログラミング入門】文系初心者がPythonとVBAを勉強したら人生変わった話,投資でーたかじり虫,UCAyQAygagukor6rGyXOdfog,16200,361521,38
https://youtube.com/watch?v=TfSLsT4fkCE,ドラクエを小一時間で作ってみた 「アレフガルド編」【プログラミング実況】Programming Dragon Quest (Dragon Warrior) : Alefgard,ゲヱム道館 Gamedokan,UCj3K2Xy0nQr3Jdc0nd-8zQw,23700,2006220,254
https://youtube.com/watch?v=HzLNwIzof1s,「嘘偽りなく楽しかった」水溜りボンド カンタがプログラミングを体験！,新R25ニュース,UCdi_pzObkrKGzsZxGsJI_TA,3120,12712756,147
https://youtube.com/watch?v=RGohmF2pvok,プログラミング未経験からプログラマーを目指す人が陥る３つの落とし穴,セレブエンジニア通信,UCV_bOyaNKyzKX6fnRlcu4UA,23300,5441977,769
https://youtube.com/watch?v=UuAW9yIRHmU,成長の遅いプログラミング初学者の特徴,KENTA / 雑食系エンジニアTV,UC_HLK-ksslL-Z_2wiIZDlMg,54900,5467898,232
https://youtube.com/watch?v=DYX5yNk3HyM,第3回 学長オススメのプログラミング勉強法【稼ぐ 実践編】,両学長 リベラルアーツ大学,UC67Wr_9pA4I0glIxDt_Cpyw,691000,114111538,838
https://youtube.com/watch?v=gXH-A7tSos8,月50万稼げるエンジニアになる最速勉強法,マコなり社長,UC7I3QTra4_kC4TSu8f7rHkA,890000,129558677,285
https://youtube.com/watch?v=ZGHsG2hxJrY,Python入門第1回 Pythonの概要　プログラミングを始めよう！,【IT・プログラミングLab】伊沢 剛,UCH61VpwvpBYKT5BpGNbMUQw,29600,4251729,598
https://youtube.com/watch?v=moLe-Io3fYc,PCはもういらない！？ホリエモンが語るプログラミング業界のこれから,堀江貴文 ホリエモン,UCXjTiSGclQLVVU83GVrRM4w,1170000,252304889,2809
https://youtube.com/watch?v=bkgFX4VkhOQ,【16分解説】ブレイン・プログラミング｜アラン&amp;バーバラ・ピーズ　～脳科学の力で夢をかなえる～,アバタロー,UCduDJ6s3mMchYMy2HvqalxQ,148000,8788116,52
https://youtube.com/watch?v=-eTnn8vQTaE,【プログラミング入門】文系初心者がPythonとVBAを勉強したら人生変わった話,投資でーたかじり虫,UCAyQAygagukor6rGyXOdfog,16200,361521,38
